Inicio;Fin;Trabajo;Tarea
05/10/2020 08:30:00;05/10/2020 12:00:00;Personal;Recojo Partidas
05/10/2020 12:00:00;05/10/2020 13:00:00;Personal;archivo
05/10/2020 15:30:00;05/10/2020 16:00:00;CNDDHH;Descarga data
05/10/2020 18:00:00;05/10/2020 22:30:00;CNDDHH;Analisis data
06/10/2020 09:00:00;06/10/2020 09:30:00;Personal;Correos
06/10/2020 09:30:00;06/10/2020 10:00:00;Oddity Webs;DE Lili
06/10/2020 10:00:00;06/10/2020 11:00:00;CNDDHH;Reunión Paul
06/10/2020 11:30:00;06/10/2020 14:00:00;CNDDHH;Redacción reporte
06/10/2020 15:00:00;06/10/2020 16:30:00;CNDDHH;Redacción reporte
06/10/2020 17:00:00;06/10/2020 17:30:00;QR Consulting;Reunión Domingo
06/10/2020 18:00:00;06/10/2020 21:30:00;Deutschlernen;Unterricht
07/10/2020 10:30:00;07/10/2020 13:00:00;Oddity Webs;Web German
07/10/2020 14:30:00;07/10/2020 15:00:00;QR Consulting;actualización reporte
07/10/2020 16:00:00;07/10/2020 17:00:00;CNDDHH;Redacción reporte
07/10/2020 17:00:00;07/10/2020 17:30:00;QR Consulting;Reunión Domingo
07/10/2020 17:30:00;07/10/2020 19:00:00;CNDDHH;Redacción reporte
07/10/2020 19:00:00;07/10/2020 20:00:00;Oddity Webs;Reunión De Lili
08/10/2020 09:30:00;08/10/2020 10:00:00;Oddity Webs;Traslado De Lili
08/10/2020 10:00:00;08/10/2020 12:00:00;QR Consulting;Llamadas
08/10/2020 12:00:00;08/10/2020 13:00:00;QR Consulting;Preparación grabación
08/10/2020 15:00:00;08/10/2020 17:00:00;QR Consulting;Llamadas
08/10/2020 17:00:00;08/10/2020 18:00:00;Deutschlernen;Hausaufgabe
09/10/2020 07:30:00;09/10/2020 08:30:00;QR Consulting;LLamadas
09/10/2020 18:32:17;09/10/2020 19:27:16;CNDDHH;Reporte
12/10/2020 07:30:00;12/10/2020 08:00:00;QR Consulting;Envío de correos
12/10/2020 10:07:23;12/10/2020 10:32:22;Personal;Correos
12/10/2020 10:35:00;12/10/2020 11:00:00;Oddity Webs;Ajustes De Lili
12/10/2020 11:05:00;12/10/2020 11:30:00;QR Consulting;Test Jitsi
12/10/2020 11:35:00;12/10/2020 12:00:00;DAR;Revisión documentos
12/10/2020 12:05:00;12/10/2020 12:30:00;CNDDHH;Redacción reporte
12/10/2020 12:33:48;12/10/2020 12:58:47;CNDDHH;Reporte
12/10/2020 15:30:51;12/10/2020 15:55:51;QR Consulting;Envió correos
12/10/2020 16:38:11;12/10/2020 17:03:10;CNDDHH;Reporte
12/10/2020 17:31:02;12/10/2020 17:56:02;CNDDHH;Lecturas
12/10/2020 18:09:34;12/10/2020 18:34:34;CNDDHH;Lecturas
13/10/2020 09:00:00;13/10/2020 10:00:00;Deutschlernen;Hausaufgabe
13/10/2020 10:13:46;13/10/2020 10:38:46;CNDDHH;Lecturas
13/10/2020 10:46:48;13/10/2020 11:11:48;CNDDHH;Lecturas
13/10/2020 11:15:09;13/10/2020 11:40:08;CNDDHH;Lecturas
13/10/2020 11:44:28;13/10/2020 12:09:28;CNDDHH;Lecturas
13/10/2020 12:14:16;13/10/2020 12:39:15;CNDDHH;Lecturas
13/10/2020 13:06:29;13/10/2020 13:31:29;CNDDHH;Lecturas
13/10/2020 15:46:34;13/10/2020 16:59:34;Oddity Webs;De Lili
13/10/2020 18:00:00;13/10/2020 21:15:00;Deutschlernen;Unterricht
14/10/2020 09:07:50;14/10/2020 09:32:50;Personal;Correos
14/10/2020 09:35:20;14/10/2020 10:22:19;DAR;Revisión docs
14/10/2020 10:35:00;14/10/2020 11:00:00;DAR;Reunión Ciro
14/10/2020 11:05:00;14/10/2020 11:16:00;QR Consulting;Actualización reporte
14/10/2020 11:31:00;14/10/2020 11:45:00;QR Consulting;Llamadas
14/10/2020 11:51:30;14/10/2020 12:16:29;CNDDHH;Lecturas
14/10/2020 12:40:00;14/10/2020 12:50:00;QR Consulting;Llamadas
14/10/2020 13:23:29;14/10/2020 13:48:28;CNDDHH;Lecturas
14/10/2020 16:00:00;14/10/2020 16:40:00;Oddity Webs;Llamada Germán
14/10/2020 16:45:00;14/10/2020 17:05:00;Oddity Webs;Llamada Nicolás
14/10/2020 17:46:09;14/10/2020 18:11:09;CNDDHH;Reporte
14/10/2020 18:20:46;14/10/2020 18:45:46;CNDDHH;Reporte
14/10/2020 19:37:13;14/10/2020 20:02:12;CNDDHH;Reporte
14/10/2020 20:02:38;14/10/2020 20:27:37;CNDDHH;Reporte
15/10/2020 07:30:00;15/10/2020 08:00:00;QR Consulting;Llamadas
15/10/2020 09:14:59;15/10/2020 09:39:58;Personal;Correo
15/10/2020 11:00:00;15/10/2020 11:30:00;Personal;Organización
15/10/2020 11:54:24;15/10/2020 12:19:24;Deutschlernen;Hausaufgabe
15/10/2020 14:30:00;15/10/2020 15:47:00;Oddity Webs;Web Germán
15/10/2020 16:00:00;15/10/2020 16:40:00;Oddity Webs;Web Germán
15/10/2020 18:00:00;15/10/2020 21:15:00;Deutschlernen;Unterricht
16/10/2020 10:00:00;16/10/2020 10:20:00;Personal;Correos
16/10/2020 11:00:00;16/10/2020 11:50:00;Personal;Cordinación y planeamiento
16/10/2020 12:08:28;16/10/2020 12:33:27;CNDDHH;Reporte
16/10/2020 12:40:11;16/10/2020 13:05:11;CNDDHH;Reporte
16/10/2020 13:19:54;16/10/2020 13:44:53;CNDDHH;Reporte
16/10/2020 19:11:59;16/10/2020 19:36:59;CNDDHH;Reporte
16/10/2020 21:00:00;16/10/2020 22:00:00;CNDDHH;Reporte
17/10/2020 12:09:13;17/10/2020 12:34:12;CNDDHH;Reporte
